Name,Population,Pop2000,IncomePerCapita,PercentCollegeGrad,MedianRent,CommuteTime,LandArea
"Lavaca, TX",19263,19210.0,32450,14.2,$340,23.4,969.71
"Lee, TX",16612,15657.0,30524,15.2,$421,23.7,629.02
"Leon, TX",16801,15335.0,28588,13.4,$371,25.6,1073.15
"Liberty, TX",75643,70154.0,30638,9.2,$484,35.3,1158.42
"Limestone, TX",23384,22051.0,26669,11.1,$375,22.9,905.29
"Lipscomb, TX",3302,3057.0,33609,20.0,$406,17.8,932.18
"Live Oak, TX",11531,12309.0,25880,12.4,$386,30.4,1039.7
"Llano, TX",19301,17044.0,31698,24.4,$491,24.2,934.03
"Loving, TX",82,67.0,99593,36.4,$0,24.3,668.93
"Lubbock, TX",278831,242628.0,30212,26.7,$563,16.2,895.6
"Lynn, TX",5915,6550.0,31043,14.7,$274,16.1,891.87
"Madison, TX",13664,12940.0,24786,13.2,$361,24.3,466.07
"Marion, TX",10546,10941.0,24366,10.7,$315,29.1,380.88
"Martin, TX",4799,4746.0,27854,12.1,$143,15.6,914.94
"Mason, TX",4012,3738.0,26351,28.5,$318,14.2,928.8
"Matagorda, TX",36702,37957.0,26027,13.8,$342,22.6,1100.28
"Maverick, TX",54258,47297.0,16789,14.0,$340,18.7,1279.26
"McCulloch, TX",8283,8205.0,27837,19.0,$292,14.6,1065.6
"McLennan, TX",234906,213517.0,29730,20.4,$528,18.3,1037.1
"McMullen, TX",707,851.0,27212,13.4,$290,19.4,1139.43
"Medina, TX",46006,39304.0,26557,18.8,$462,30.9,1325.36
"Menard, TX",2242,2360.0,25680,10.3,$290,20.0,902.03
"Midland, TX",136872,116009.0,52974,24.5,$546,17.2,900.3
"Milam, TX",24757,24238.0,27970,12.3,$360,25.1,1016.93
"Mills, TX",4936,5151.0,26388,15.9,$196,17.4,748.26
"Mitchell, TX",9403,9698.0,19460,10.3,$335,20.0,911.09
"Montague, TX",19719,19117.0,32648,13.7,$377,28.1,930.91
"Montgomery, TX",455746,293768.0,42704,28.7,$712,31.7,1041.74
"Moore, TX",21904,20121.0,29542,11.7,$446,16.2,899.69
"Morris, TX",12934,13048.0,28912,18.9,$293,19.6,251.99
"Motley, TX",1210,1426.0,25216,15.4,$181,23.1,989.56
"Nacogdoches, TX",64524,59203.0,24491,23.6,$482,19.1,946.54
"Navarro, TX",47735,45124.0,25228,14.7,$458,24.0,1009.63
"Newton, TX",14445,15072.0,22376,7.2,$278,28.7,933.68
"Nolan, TX",15216,15802.0,27539,18.0,$321,17.4,912.0
"Nueces, TX",340223,313645.0,33970,19.6,$577,19.4,838.48
"Ochiltree, TX",10223,9006.0,37838,17.9,$383,19.1,917.63
"Oldham, TX",2052,2185.0,25628,24.3,$628,14.9,1500.53
"Orange, TX",81837,84966.0,31076,12.8,$447,22.6,333.67
